223	1299
224	1393
225	1418
226	1492
227	1552
228	1586
229	1644
230	1772
231	1867
232	2122
233	2351
234	2654
235	2812
236	3392
237	3724
238	4254
239	4909
240	5572
241	6585
242	7453
243	8553
244	9876
245	11104
246	12408
247	14205
248	15947
249	17533
250	19071
251	20458
252	22162
253	23187
254	24591
255	25337
256	26552
257	26578
258	26743
259	26082
260	26136
261	24973
262	24026
263	22227
264	20945
265	19015
266	17427
267	15511
268	13704
269	11855
270	10556
271	8768
272	7537
273	6347
274	5258
275	4229
276	3563
277	2976
278	2425
279	2035
280	1623
281	1358
282	1098
283	905
284	769
285	662
