0.5	0.062
1	0.11
1.5	0.16
2	0.205
2.5	0.293
3	0.329
3.5	0.359
4	0.364
4.5	0.368
5	0.377
5.5	0.379
6	0.38
6.5	0.383
7	0.385
7.5	0.418
8	0.402
8.5	0.399
9	0.392
9.5	0.331
10	0.319
10.5	0.257
11	0.239
11.5	0.232
12	0.218
12.5	0.179
13	0.146
13.5	0.119
14	0.097
14.5	0.094
15	0.062
15.5	0.027
16	0.022
16.5	0.02
17	0.007
	
	
