V_CE (V),I_C (mA)
0.007,0
0.0379,0.161
0.0465,0.247
0.0528,0.33
0.0553,0.416
0.0614,0.497
0.0658,0.573
0.0702,0.682
0.0771,0.833
0.0826,0.975
0.0917,1.191
0.0931,1.357
0.0979,1.458
0.1015,1.613
0.1132,1.819
0.1153,2.03
0.1255,2.24
0.1351,2.45
0.1365,2.59
0.1493,2.8
1.19,3.7
4.3,3.8
8.15,3.9
