V_CE (V),I_C (mA)
0.0067,0
0.0225,0.111
0.0326,0.207
0.0396,0.324
0.0457,0.408
0.0502,0.505
0.0542,0.599
0.0601,0.752
0.068,0.948
0.0704,1.078
0.0774,1.235
0.0806,1.497
0.0868,1.59
0.0892,1.782
0.096,2.3
0.1004,2.5
0.104,2.7
0.108,2.9
0.1146,3.05
0.194,4.8
2.12,5.1
6.55,5.4
