V_CE (V),I_C (mA)
0.0064,0
0.0227,0.149
0.0248,0.175
0.0343,0.326
0.0368,0.353
0.043,0.5
0.0446,0.52
0.0494,0.694
0.0575,0.874
0.0618,1.074
0.0647,1.213
0.0697,1.388
0.0736,1.576
0.0819,2
0.0839,2.25
0.0889,2.5
0.09,2.7
0.0935,2.9
0.0983,3.1
0.14,4.9
1.17,7
4.55,7.5
